Freq,Re(Vin),Im(Vin),Re(Vout),Im(Vout),Re(Iin),Im(Iin),Re(Iout),Im(Iout),Re(Pin),Im(Pin),Re(Zout),Im(Zout),Re(Pout),Im(Pout),Re(Zin),Im(Zin),Re(Av),Im(Av),Re(Ai),Im(Ai)
Hz,V,V,V,V,A,A,A,A,W,W,Ohms,Ohms,W,W,Ohms,Ohms,,,,
1.000e+01,8.317e-10,4.995e-05,-5.000e+00,1.332e-04,1.663e-11,9.990e-07,5.000e-02,-3.330e-07,-4.990e-11,1.662e-15,1.000e+02,-1.998e-03,-2.500e-01,8.325e-06,3.333e+01,-5.005e+06,1.000e+00,1.001e+05,5.000e-01,-5.005e+04
2.041e+05,3.106e-01,9.139e-01,-4.172e+00,2.437e+00,6.211e-03,1.828e-02,4.793e-02,-6.093e-03,-1.478e-02,1.135e-02,8.185e+01,-2.968e+01,-1.851e-01,1.422e-01,3.333e+01,-2.452e+02,1.000e+00,4.905e+00,5.000e-01,-2.452e+00
4.082e+05,9.479e-01,1.395e+00,-2.472e+00,3.719e+00,1.896e-02,2.789e-02,4.368e-02,-9.298e-03,-2.093e-02,5.288e-02,6.004e+01,-3.267e+01,-7.341e-02,1.854e-01,3.333e+01,-1.226e+02,1.000e+00,2.452e+00,5.000e-01,-1.226e+00
6.123e+05,1.529e+00,1.500e+00,-9.230e-01,3.999e+00,3.058e-02,2.999e-02,3.981e-02,-9.998e-03,1.765e-03,9.171e-02,4.860e+01,-2.801e+01,3.241e-03,1.684e-01,3.333e+01,-8.174e+01,1.000e+00,1.635e+00,5.000e-01,-8.174e-01
8.163e+05,1.946e+00,1.432e+00,1.905e-01,3.819e+00,3.893e-02,2.864e-02,3.702e-02,-9.547e-03,3.476e-02,1.115e-01,4.288e+01,-2.335e+01,4.351e-02,1.396e-01,3.333e+01,-6.131e+01,1.000e+00,1.226e+00,5.000e-01,-6.131e-01
1.020e+06,2.228e+00,1.311e+00,9.417e-01,3.497e+00,4.456e-02,2.623e-02,3.515e-02,-8.743e-03,6.490e-02,1.169e-01,3.977e+01,-1.969e+01,6.367e-02,1.147e-01,3.333e+01,-4.905e+01,1.000e+00,9.809e-01,5.000e-01,-4.905e-01
1.224e+06,2.418e+00,1.186e+00,1.449e+00,3.163e+00,4.837e-02,2.372e-02,3.388e-02,-7.907e-03,8.882e-02,1.147e-01,3.794e+01,-1.691e+01,7.409e-02,9.570e-02,3.333e+01,-4.087e+01,1.000e+00,8.175e-01,5.000e-01,-4.087e-01
1.429e+06,2.549e+00,1.072e+00,1.798e+00,2.858e+00,5.099e-02,2.144e-02,3.300e-02,-7.145e-03,1.070e-01,1.093e-01,3.678e+01,-1.477e+01,7.978e-02,8.148e-02,3.333e+01,-3.503e+01,1.000e+00,7.007e-01,5.000e-01,-3.503e-01
1.633e+06,2.642e+00,9.720e-01,2.046e+00,2.592e+00,5.285e-02,1.944e-02,3.238e-02,-6.480e-03,1.208e-01,1.027e-01,3.601e+01,-1.308e+01,8.307e-02,7.068e-02,3.333e+01,-3.065e+01,1.000e+00,6.131e-01,5.000e-01,-3.065e-01
1.837e+06,2.710e+00,8.862e-01,2.227e+00,2.363e+00,5.420e-02,1.772e-02,3.193e-02,-5.908e-03,1.312e-01,9.607e-02,3.546e+01,-1.172e+01,8.508e-02,6.230e-02,3.333e+01,-2.725e+01,1.000e+00,5.450e-01,5.000e-01,-2.725e-01
2.041e+06,2.761e+00,8.125e-01,2.362e+00,2.167e+00,5.522e-02,1.625e-02,3.159e-02,-5.417e-03,1.392e-01,8.973e-02,3.507e+01,-1.062e+01,8.637e-02,5.566e-02,3.333e+01,-2.452e+01,1.000e+00,4.905e-01,5.000e-01,-2.452e-01
2.245e+06,2.800e+00,7.490e-01,2.466e+00,1.997e+00,5.599e-02,1.498e-02,3.134e-02,-4.993e-03,1.455e-01,8.388e-02,3.477e+01,-9.694e+00,8.724e-02,5.028e-02,3.333e+01,-2.229e+01,1.000e+00,4.459e-01,5.000e-01,-2.229e-01
2.449e+06,2.830e+00,6.940e-01,2.546e+00,1.851e+00,5.660e-02,1.388e-02,3.113e-02,-4.627e-03,1.505e-01,7.855e-02,3.455e+01,-8.917e+00,8.784e-02,4.584e-02,3.333e+01,-2.044e+01,1.000e+00,4.087e-01,5.000e-01,-2.044e-01
2.653e+06,2.854e+00,6.460e-01,2.610e+00,1.723e+00,5.708e-02,1.292e-02,3.097e-02,-4.307e-03,1.545e-01,7.374e-02,3.437e+01,-8.254e+00,8.826e-02,4.212e-02,3.333e+01,-1.886e+01,1.000e+00,3.773e-01,5.000e-01,-1.886e-01
2.857e+06,2.873e+00,6.039e-01,2.661e+00,1.610e+00,5.746e-02,1.208e-02,3.085e-02,-4.026e-03,1.578e-01,6.940e-02,3.423e+01,-7.681e+00,8.858e-02,3.896e-02,3.333e+01,-1.752e+01,1.000e+00,3.503e-01,5.000e-01,-1.752e-01
3.061e+06,2.889e+00,5.668e-01,2.703e+00,1.511e+00,5.778e-02,1.134e-02,3.074e-02,-3.778e-03,1.605e-01,6.549e-02,3.412e+01,-7.181e+00,8.882e-02,3.625e-02,3.333e+01,-1.635e+01,1.000e+00,3.270e-01,5.000e-01,-1.635e-01
3.265e+06,2.902e+00,5.337e-01,2.738e+00,1.423e+00,5.804e-02,1.067e-02,3.065e-02,-3.558e-03,1.627e-01,6.195e-02,3.402e+01,-6.742e+00,8.900e-02,3.389e-02,3.333e+01,-1.533e+01,1.000e+00,3.065e-01,5.000e-01,-1.533e-01
3.469e+06,2.913e+00,5.042e-01,2.767e+00,1.345e+00,5.825e-02,1.008e-02,3.058e-02,-3.361e-03,1.646e-01,5.875e-02,3.394e+01,-6.353e+00,8.915e-02,3.182e-02,3.333e+01,-1.443e+01,1.000e+00,2.885e-01,5.000e-01,-1.443e-01
3.673e+06,2.922e+00,4.777e-01,2.792e+00,1.274e+00,5.844e-02,9.554e-03,3.052e-02,-3.185e-03,1.662e-01,5.583e-02,3.388e+01,-6.006e+00,8.926e-02,2.999e-02,3.333e+01,-1.362e+01,1.000e+00,2.725e-01,5.000e-01,-1.362e-01
3.878e+06,2.930e+00,4.538e-01,2.813e+00,1.210e+00,5.859e-02,9.076e-03,3.047e-02,-3.025e-03,1.675e-01,5.318e-02,3.382e+01,-5.694e+00,8.936e-02,2.836e-02,3.333e+01,-1.291e+01,1.000e+00,2.581e-01,5.000e-01,-1.291e-01
4.082e+06,2.936e+00,4.321e-01,2.830e+00,1.152e+00,5.873e-02,8.641e-03,3.042e-02,-2.880e-03,1.687e-01,5.075e-02,3.378e+01,-5.414e+00,8.943e-02,2.690e-02,3.333e+01,-1.226e+01,1.000e+00,2.452e-01,5.000e-01,-1.226e-01
4.286e+06,2.942e+00,4.123e-01,2.846e+00,1.099e+00,5.884e-02,8.246e-03,3.039e-02,-2.749e-03,1.697e-01,4.852e-02,3.373e+01,-5.159e+00,8.950e-02,2.559e-02,3.333e+01,-1.168e+01,1.000e+00,2.336e-01,5.000e-01,-1.168e-01
4.490e+06,2.947e+00,3.942e-01,2.859e+00,1.051e+00,5.895e-02,7.885e-03,3.035e-02,-2.628e-03,1.706e-01,4.648e-02,3.370e+01,-4.927e+00,8.955e-02,2.439e-02,3.333e+01,-1.115e+01,1.000e+00,2.229e-01,5.000e-01,-1.115e-01
4.694e+06,2.952e+00,3.777e-01,2.871e+00,1.007e+00,5.903e-02,7.553e-03,3.032e-02,-2.518e-03,1.714e-01,4.459e-02,3.367e+01,-4.715e+00,8.959e-02,2.331e-02,3.333e+01,-1.066e+01,1.000e+00,2.133e-01,5.000e-01,-1.066e-01
4.898e+06,2.956e+00,3.624e-01,2.881e+00,9.664e-01,5.911e-02,7.248e-03,3.030e-02,-2.416e-03,1.721e-01,4.284e-02,3.364e+01,-4.520e+00,8.963e-02,2.232e-02,3.333e+01,-1.022e+01,1.000e+00,2.044e-01,5.000e-01,-1.022e-01
5.102e+06,2.959e+00,3.483e-01,2.891e+00,9.288e-01,5.918e-02,6.966e-03,3.027e-02,-2.322e-03,1.727e-01,4.123e-02,3.362e+01,-4.341e+00,8.967e-02,2.141e-02,3.333e+01,-9.810e+00,1.000e+00,1.962e-01,5.000e-01,-9.810e-02
5.306e+06,2.962e+00,3.353e-01,2.899e+00,8.940e-01,5.924e-02,6.705e-03,3.025e-02,-2.235e-03,1.732e-01,3.972e-02,3.360e+01,-4.176e+00,8.970e-02,2.057e-02,3.333e+01,-9.432e+00,1.000e+00,1.886e-01,5.000e-01,-9.432e-02
5.510e+06,2.965e+00,3.231e-01,2.906e+00,8.617e-01,5.930e-02,6.463e-03,3.023e-02,-2.154e-03,1.737e-01,3.832e-02,3.358e+01,-4.022e+00,8.972e-02,1.979e-02,3.333e+01,-9.083e+00,1.000e+00,1.817e-01,5.000e-01,-9.083e-02
