Freq,Re(Vin),Im(Vin),Re(Vout),Im(Vout),Re(Iin),Im(Iin),Re(Iout),Im(Iout),Re(Pin),Im(Pin),Re(Zout),Im(Zout),Re(Pout),Im(Pout),Re(Zin),Im(Zin),Re(Av),Im(Av),Re(Ai),Im(Ai)
Hz,V,V,V,V,A,A,A,A,W,W,Ohms,Ohms,W,W,Ohms,Ohms,,,,
1.000e+01,1.250e+00,3.122e-06,-1.250e+00,-3.122e-06,2.500e-02,6.244e-08,2.500e-02,3.122e-07,3.125e-02,1.561e-07,1.500e+02,-4.496e-03,-3.125e-02,-4.683e-07,1.500e+02,-4.995e-04,-1.000e+00,4.066e-21,1.000e+00,9.990e-06
2.041e+05,1.260e+00,6.226e-02,-1.260e+00,-6.226e-02,2.519e-02,1.245e-03,2.494e-02,6.381e-03,3.165e-02,3.137e-03,1.092e+02,-6.677e+01,-3.101e-02,-9.590e-03,1.480e+02,-9.788e+00,-1.000e+00,0.000e+00,1.000e+00,2.039e-01
4.082e+05,1.286e+00,1.165e-01,-1.286e+00,-1.165e-01,2.571e-02,2.331e-03,2.476e-02,1.282e-02,3.279e-02,5.993e-03,6.008e+01,-7.350e+01,-3.034e-02,-1.936e-02,1.429e+02,-1.748e+01,-1.000e+00,3.105e-16,1.000e+00,4.078e-01
6.123e+05,1.322e+00,1.579e-01,-1.322e+00,-1.579e-01,2.645e-02,3.158e-03,2.452e-02,1.934e-02,3.448e-02,8.353e-03,3.435e+01,-6.303e+01,-2.937e-02,-2.944e-02,1.364e+02,-2.226e+01,-1.000e+00,2.069e-17,1.000e+00,6.117e-01
8.163e+05,1.363e+00,1.855e-01,-1.363e+00,-1.855e-01,2.727e-02,3.709e-03,2.424e-02,2.595e-02,3.649e-02,1.012e-02,2.147e+01,-5.253e+01,-2.824e-02,-3.988e-02,1.300e+02,-2.449e+01,-1.000e+00,-1.199e-16,1.000e+00,8.155e-01
1.020e+06,1.404e+00,2.010e-01,-1.404e+00,-2.010e-01,2.807e-02,4.021e-03,2.398e-02,3.264e-02,3.860e-02,1.129e-02,1.449e+01,-4.431e+01,-2.709e-02,-5.064e-02,1.245e+02,-2.500e+01,-1.000e+00,-5.231e-16,1.000e+00,1.019e+00
1.224e+06,1.440e+00,2.076e-01,-1.440e+00,-2.076e-01,2.881e-02,4.151e-03,2.373e-02,3.939e-02,4.064e-02,1.196e-02,1.037e+01,-3.805e+01,-2.601e-02,-6.167e-02,1.200e+02,-2.450e+01,-1.000e+00,-1.699e-16,1.000e+00,1.223e+00
1.429e+06,1.472e+00,2.079e-01,-1.472e+00,-2.079e-01,2.945e-02,4.157e-03,2.352e-02,4.619e-02,4.250e-02,1.224e-02,7.759e+00,-3.322e+01,-2.503e-02,-7.290e-02,1.165e+02,-2.350e+01,-1.000e+00,1.294e-16,1.000e+00,1.427e+00
1.633e+06,1.500e+00,2.042e-01,-1.500e+00,-2.042e-01,3.000e-02,4.083e-03,2.333e-02,5.301e-02,4.415e-02,1.225e-02,6.014e+00,-2.943e+01,-2.417e-02,-8.426e-02,1.137e+02,-2.228e+01,-1.000e+00,4.361e-16,1.000e+00,1.631e+00
