Freq,Re(Vin),Im(Vin),Re(Vout),Im(Vout),Re(Iin),Im(Iin),Re(Iout),Im(Iout),Re(Pin),Im(Pin),Re(Zout),Im(Zout),Re(Pout),Im(Pout),Re(Zin),Im(Zin),Re(Av),Im(Av),Re(Ai),Im(Ai)
Hz,V,V,V,V,A,A,A,A,W,W,Ohms,Ohms,W,W,Ohms,Ohms,,,,
1.000e+01,1.058e+00,0.000e+00,-4.065e+00,0.000e+00,2.117e-02,0.000e+00,2.357e-02,0.000e+00,2.240e-02,0.000e+00,2.297e+02,0.000e+00,-9.581e-02,0.000e+00,1.862e+02,0.000e+00,-3.841e+00,0.000e+00,1.114e+00,0.000e+00
1.111e+06,1.058e+00,0.000e+00,-4.065e+00,0.000e+00,2.117e-02,0.000e+00,2.357e-02,0.000e+00,2.240e-02,0.000e+00,2.297e+02,0.000e+00,-9.581e-02,0.000e+00,1.862e+02,0.000e+00,-3.841e+00,0.000e+00,1.114e+00,0.000e+00
2.222e+06,1.058e+00,0.000e+00,-4.065e+00,0.000e+00,2.117e-02,0.000e+00,2.357e-02,0.000e+00,2.240e-02,0.000e+00,2.297e+02,0.000e+00,-9.581e-02,0.000e+00,1.862e+02,0.000e+00,-3.841e+00,0.000e+00,1.114e+00,0.000e+00
3.333e+06,1.058e+00,0.000e+00,-4.065e+00,0.000e+00,2.117e-02,0.000e+00,2.357e-02,0.000e+00,2.240e-02,0.000e+00,2.297e+02,0.000e+00,-9.581e-02,0.000e+00,1.862e+02,0.000e+00,-3.841e+00,0.000e+00,1.114e+00,0.000e+00
4.444e+06,1.058e+00,0.000e+00,-4.065e+00,0.000e+00,2.117e-02,0.000e+00,2.357e-02,0.000e+00,2.240e-02,0.000e+00,2.297e+02,0.000e+00,-9.581e-02,0.000e+00,1.862e+02,0.000e+00,-3.841e+00,0.000e+00,1.114e+00,0.000e+00
5.556e+06,1.058e+00,0.000e+00,-4.065e+00,0.000e+00,2.117e-02,0.000e+00,2.357e-02,0.000e+00,2.240e-02,0.000e+00,2.297e+02,0.000e+00,-9.581e-02,0.000e+00,1.862e+02,0.000e+00,-3.841e+00,0.000e+00,1.114e+00,0.000e+00
6.667e+06,1.058e+00,0.000e+00,-4.065e+00,0.000e+00,2.117e-02,0.000e+00,2.357e-02,0.000e+00,2.240e-02,0.000e+00,2.297e+02,0.000e+00,-9.581e-02,0.000e+00,1.862e+02,0.000e+00,-3.841e+00,0.000e+00,1.114e+00,0.000e+00
7.778e+06,1.058e+00,0.000e+00,-4.065e+00,0.000e+00,2.117e-02,0.000e+00,2.357e-02,0.000e+00,2.240e-02,0.000e+00,2.297e+02,0.000e+00,-9.581e-02,0.000e+00,1.862e+02,0.000e+00,-3.841e+00,0.000e+00,1.114e+00,0.000e+00
8.889e+06,1.058e+00,0.000e+00,-4.065e+00,0.000e+00,2.117e-02,0.000e+00,2.357e-02,0.000e+00,2.240e-02,0.000e+00,2.297e+02,0.000e+00,-9.581e-02,0.000e+00,1.862e+02,0.000e+00,-3.841e+00,0.000e+00,1.114e+00,0.000e+00
1.000e+07,1.058e+00,0.000e+00,-4.065e+00,0.000e+00,2.117e-02,0.000e+00,2.357e-02,0.000e+00,2.240e-02,0.000e+00,2.297e+02,0.000e+00,-9.581e-02,0.000e+00,1.862e+02,0.000e+00,-3.841e+00,0.000e+00,1.114e+00,0.000e+00
