Freq,Re(Vin),Im(Vin),Re(Vout),Im(Vout),Re(Iin),Im(Iin),Re(Iout),Im(Iout),Re(Pin),Im(Pin),Re(Pout),Im(Pout),Re(Zin),Im(Zin),Re(Zout),Im(Zout),Re(Av),Im(Av),Re(Ai),Im(Ai)
Hz,V,V,V,V,A,A,A,A,W,W,W,W,Ohms,Ohms,Ohms,Ohms,,,,
1.000e+01,5.000e+00,-3.977e-03,5.000e+00,-3.977e-03,1.000e-01,-7.954e-05,-2.167e-01,1.257e+02,5.000e-01,-7.954e-04,-5.833e-01,6.286e+02,1.635e-04,3.977e-02,1.635e-04,3.977e-02,1.000e+00,0.000e+00,-3.167e+00,1.257e+03
2.041e+05,4.606e+00,4.052e-01,4.606e+00,4.052e-01,9.213e-02,8.105e-03,-2.403e-01,-6.107e-01,4.211e-01,7.467e-02,-8.594e-01,-2.911e+00,3.855e+00,-4.738e+00,3.855e+00,-4.738e+00,1.000e+00,0.000e+00,-3.167e+00,-6.350e+00
4.082e+05,4.847e+00,3.172e-01,4.847e+00,3.172e-01,9.694e-02,6.343e-03,-2.258e-01,-1.260e+00,4.679e-01,6.149e-02,-6.950e-01,-6.180e+00,1.357e+00,-3.360e+00,1.357e+00,-3.360e+00,1.000e+00,0.000e+00,-3.167e+00,-1.279e+01
6.123e+05,4.924e+00,2.359e-01,4.924e+00,2.359e-01,9.849e-02,4.719e-03,-2.212e-01,-1.907e+00,4.839e-01,4.647e-02,-6.393e-01,-9.444e+00,6.526e-01,-2.427e+00,6.526e-01,-2.427e+00,1.000e+00,5.624e-18,-3.167e+00,-1.921e+01
8.163e+05,4.956e+00,1.844e-01,4.956e+00,1.844e-01,9.911e-02,3.688e-03,-2.193e-01,-2.552e+00,4.905e-01,3.655e-02,-6.163e-01,-1.269e+01,3.779e-01,-1.875e+00,3.779e-01,-1.875e+00,1.000e+00,5.593e-18,-3.167e+00,-2.563e+01
1.020e+06,4.971e+00,1.505e-01,4.971e+00,1.505e-01,9.942e-02,3.009e-03,-2.184e-01,-3.195e+00,4.938e-01,2.992e-02,-6.049e-01,-1.592e+01,2.452e-01,-1.521e+00,2.452e-01,-1.521e+00,1.000e+00,0.000e+00,-3.167e+00,-3.205e+01
1.224e+06,4.980e+00,1.268e-01,4.980e+00,1.268e-01,9.959e-02,2.535e-03,-2.179e-01,-3.838e+00,4.956e-01,2.525e-02,-5.985e-01,-1.914e+01,1.716e-01,-1.277e+00,1.716e-01,-1.277e+00,1.000e+00,0.000e+00,-3.167e+00,-3.846e+01
1.429e+06,4.985e+00,1.094e-01,4.985e+00,1.094e-01,9.970e-02,2.187e-03,-2.176e-01,-4.481e+00,4.968e-01,2.181e-02,-5.946e-01,-2.236e+01,1.266e-01,-1.100e+00,1.266e-01,-1.100e+00,1.000e+00,0.000e+00,-3.167e+00,-4.487e+01
1.633e+06,4.988e+00,9.611e-02,4.988e+00,9.611e-02,9.977e-02,1.922e-03,-2.174e-01,-5.123e+00,4.975e-01,1.918e-02,-5.920e-01,-2.557e+01,9.724e-02,-9.652e-01,9.724e-02,-9.652e-01,1.000e+00,-1.390e-17,-3.167e+00,-5.128e+01
1.837e+06,4.991e+00,8.568e-02,4.991e+00,8.568e-02,9.982e-02,1.714e-03,-2.172e-01,-5.764e+00,4.980e-01,1.711e-02,-5.902e-01,-2.879e+01,7.699e-02,-8.597e-01,7.699e-02,-8.597e-01,1.000e+00,0.000e+00,-3.167e+00,-5.770e+01
2.041e+06,4.993e+00,7.728e-02,4.993e+00,7.728e-02,9.985e-02,1.546e-03,-2.171e-01,-6.406e+00,4.984e-01,1.543e-02,-5.889e-01,-3.200e+01,6.245e-02,-7.749e-01,6.245e-02,-7.749e-01,1.000e+00,0.000e+00,-3.167e+00,-6.411e+01
2.245e+06,4.994e+00,7.036e-02,4.994e+00,7.036e-02,9.988e-02,1.407e-03,-2.170e-01,-7.048e+00,4.987e-01,1.406e-02,-5.879e-01,-3.521e+01,5.167e-02,-7.052e-01,5.167e-02,-7.052e-01,1.000e+00,0.000e+00,-3.167e+00,-7.052e+01
2.449e+06,4.995e+00,6.458e-02,4.995e+00,6.458e-02,9.990e-02,1.292e-03,-2.170e-01,-7.689e+00,4.989e-01,1.290e-02,-5.872e-01,-3.842e+01,4.345e-02,-6.470e-01,4.345e-02,-6.470e-01,1.000e+00,2.778e-18,-3.167e+00,-7.693e+01
2.653e+06,4.996e+00,5.967e-02,4.996e+00,5.967e-02,9.991e-02,1.193e-03,-2.169e-01,-8.331e+00,4.990e-01,1.192e-02,-5.866e-01,-4.163e+01,3.705e-02,-5.976e-01,3.705e-02,-5.976e-01,1.000e+00,-1.389e-18,-3.167e+00,-8.334e+01
2.857e+06,4.996e+00,5.545e-02,4.996e+00,5.545e-02,9.992e-02,1.109e-03,-2.169e-01,-8.972e+00,4.992e-01,1.108e-02,-5.862e-01,-4.484e+01,3.196e-02,-5.552e-01,3.196e-02,-5.552e-01,1.000e+00,-1.389e-18,-3.167e+00,-8.976e+01
3.061e+06,4.997e+00,5.178e-02,4.997e+00,5.178e-02,9.993e-02,1.036e-03,-2.169e-01,-9.614e+00,4.993e-01,1.035e-02,-5.858e-01,-4.805e+01,2.785e-02,-5.184e-01,2.785e-02,-5.184e-01,1.000e+00,4.166e-18,-3.167e+00,-9.617e+01
3.265e+06,4.997e+00,4.857e-02,4.997e+00,4.857e-02,9.994e-02,9.713e-04,-2.168e-01,-1.025e+01,4.994e-01,9.708e-03,-5.855e-01,-5.126e+01,2.449e-02,-4.862e-01,2.449e-02,-4.862e-01,1.000e+00,6.942e-18,-3.167e+00,-1.026e+02
3.469e+06,4.997e+00,4.573e-02,4.997e+00,4.573e-02,9.995e-02,9.146e-04,-2.168e-01,-1.090e+01,4.994e-01,9.141e-03,-5.853e-01,-5.446e+01,2.170e-02,-4.577e-01,2.170e-02,-4.577e-01,1.000e+00,5.554e-18,-3.167e+00,-1.090e+02
3.673e+06,4.998e+00,4.320e-02,4.998e+00,4.320e-02,9.995e-02,8.641e-04,-2.168e-01,-1.154e+01,4.995e-01,8.637e-03,-5.851e-01,-5.767e+01,1.936e-02,-4.324e-01,1.936e-02,-4.324e-01,1.000e+00,-1.388e-18,-3.167e+00,-1.154e+02
3.878e+06,4.998e+00,4.094e-02,4.998e+00,4.094e-02,9.996e-02,8.188e-04,-2.168e-01,-1.218e+01,4.996e-01,8.185e-03,-5.849e-01,-6.088e+01,1.738e-02,-4.097e-01,1.738e-02,-4.097e-01,1.000e+00,-1.388e-18,-3.167e+00,-1.218e+02
4.082e+06,4.998e+00,3.890e-02,4.998e+00,3.890e-02,9.996e-02,7.781e-04,-2.168e-01,-1.282e+01,4.996e-01,7.778e-03,-5.847e-01,-6.409e+01,1.569e-02,-3.893e-01,1.569e-02,-3.893e-01,1.000e+00,-1.388e-18,-3.167e+00,-1.282e+02
4.286e+06,4.998e+00,3.706e-02,4.998e+00,3.706e-02,9.997e-02,7.412e-04,-2.168e-01,-1.346e+01,4.996e-01,7.409e-03,-5.846e-01,-6.729e+01,1.423e-02,-3.708e-01,1.423e-02,-3.708e-01,1.000e+00,-2.776e-18,-3.167e+00,-1.346e+02
4.490e+06,4.998e+00,3.538e-02,4.998e+00,3.538e-02,9.997e-02,7.076e-04,-2.168e-01,-1.410e+01,4.997e-01,7.074e-03,-5.845e-01,-7.050e+01,1.297e-02,-3.540e-01,1.297e-02,-3.540e-01,1.000e+00,-1.388e-18,-3.167e+00,-1.410e+02
4.694e+06,4.999e+00,3.385e-02,4.999e+00,3.385e-02,9.997e-02,6.770e-04,-2.168e-01,-1.474e+01,4.997e-01,6.768e-03,-5.844e-01,-7.371e+01,1.187e-02,-3.387e-01,1.187e-02,-3.387e-01,1.000e+00,0.000e+00,-3.167e+00,-1.475e+02
4.898e+06,4.999e+00,3.244e-02,4.999e+00,3.244e-02,9.997e-02,6.489e-04,-2.167e-01,-1.539e+01,4.997e-01,6.487e-03,-5.843e-01,-7.691e+01,1.090e-02,-3.246e-01,1.090e-02,-3.246e-01,1.000e+00,-4.164e-18,-3.167e+00,-1.539e+02
5.102e+06,4.999e+00,3.115e-02,4.999e+00,3.115e-02,9.998e-02,6.230e-04,-2.167e-01,-1.603e+01,4.997e-01,6.228e-03,-5.842e-01,-8.012e+01,1.005e-02,-3.116e-01,1.005e-02,-3.116e-01,1.000e+00,3.470e-18,-3.167e+00,-1.603e+02
5.306e+06,4.999e+00,2.995e-02,4.999e+00,2.995e-02,9.998e-02,5.991e-04,-2.167e-01,-1.667e+01,4.998e-01,5.989e-03,-5.842e-01,-8.333e+01,9.288e-03,-2.997e-01,9.288e-03,-2.997e-01,1.000e+00,0.000e+00,-3.167e+00,-1.667e+02
5.510e+06,4.999e+00,2.885e-02,4.999e+00,2.885e-02,9.998e-02,5.769e-04,-2.167e-01,-1.731e+01,4.998e-01,5.768e-03,-5.841e-01,-8.653e+01,8.613e-03,-2.886e-01,8.613e-03,-2.886e-01,1.000e+00,-6.940e-19,-3.167e+00,-1.731e+02
5.714e+06,4.999e+00,2.782e-02,4.999e+00,2.782e-02,9.998e-02,5.564e-04,-2.167e-01,-1.795e+01,4.998e-01,5.563e-03,-5.840e-01,-8.974e+01,8.010e-03,-2.783e-01,8.010e-03,-2.783e-01,1.000e+00,-6.940e-19,-3.167e+00,-1.795e+02
5.918e+06,4.999e+00,2.686e-02,4.999e+00,2.686e-02,9.998e-02,5.372e-04,-2.167e-01,-1.859e+01,4.998e-01,5.372e-03,-5.840e-01,-9.295e+01,7.467e-03,-2.687e-01,7.467e-03,-2.687e-01,1.000e+00,0.000e+00,-3.167e+00,-1.859e+02
6.122e+06,4.999e+00,2.597e-02,4.999e+00,2.597e-02,9.998e-02,5.194e-04,-2.167e-01,-1.923e+01,4.998e-01,5.193e-03,-5.840e-01,-9.615e+01,6.978e-03,-2.598e-01,6.978e-03,-2.598e-01,1.000e+00,0.000e+00,-3.167e+00,-1.923e+02
6.327e+06,4.999e+00,2.513e-02,4.999e+00,2.513e-02,9.998e-02,5.027e-04,-2.167e-01,-1.987e+01,4.998e-01,5.026e-03,-5.839e-01,-9.936e+01,6.535e-03,-2.514e-01,6.535e-03,-2.514e-01,1.000e+00,2.082e-18,-3.167e+00,-1.988e+02
6.531e+06,4.999e+00,2.435e-02,4.999e+00,2.435e-02,9.999e-02,4.870e-04,-2.167e-01,-2.051e+01,4.998e-01,4.869e-03,-5.839e-01,-1.026e+02,6.133e-03,-2.436e-01,6.133e-03,-2.436e-01,1.000e+00,0.000e+00,-3.167e+00,-2.052e+02
6.735e+06,4.999e+00,2.361e-02,4.999e+00,2.361e-02,9.999e-02,4.722e-04,-2.167e-01,-2.116e+01,4.999e-01,4.722e-03,-5.838e-01,-1.058e+02,5.768e-03,-2.362e-01,5.768e-03,-2.362e-01,1.000e+00,-2.082e-18,-3.167e+00,-2.116e+02
6.939e+06,4.999e+00,2.292e-02,4.999e+00,2.292e-02,9.999e-02,4.584e-04,-2.167e-01,-2.180e+01,4.999e-01,4.583e-03,-5.838e-01,-1.090e+02,5.433e-03,-2.292e-01,5.433e-03,-2.292e-01,1.000e+00,0.000e+00,-3.167e+00,-2.180e+02
7.143e+06,4.999e+00,2.227e-02,4.999e+00,2.227e-02,9.999e-02,4.453e-04,-2.167e-01,-2.244e+01,4.999e-01,4.452e-03,-5.838e-01,-1.122e+02,5.128e-03,-2.227e-01,5.128e-03,-2.227e-01,1.000e+00,-6.940e-19,-3.167e+00,-2.244e+02
7.347e+06,4.999e+00,2.165e-02,4.999e+00,2.165e-02,9.999e-02,4.329e-04,-2.167e-01,-2.308e+01,4.999e-01,4.329e-03,-5.838e-01,-1.154e+02,4.847e-03,-2.165e-01,4.847e-03,-2.165e-01,1.000e+00,0.000e+00,-3.167e+00,-2.308e+02
7.551e+06,4.999e+00,2.106e-02,4.999e+00,2.106e-02,9.999e-02,4.213e-04,-2.167e-01,-2.372e+01,4.999e-01,4.212e-03,-5.837e-01,-1.186e+02,4.588e-03,-2.107e-01,4.588e-03,-2.107e-01,1.000e+00,0.000e+00,-3.167e+00,-2.372e+02
7.755e+06,4.999e+00,2.051e-02,4.999e+00,2.051e-02,9.999e-02,4.102e-04,-2.167e-01,-2.436e+01,4.999e-01,4.101e-03,-5.837e-01,-1.218e+02,4.350e-03,-2.051e-01,4.350e-03,-2.051e-01,1.000e+00,0.000e+00,-3.167e+00,-2.436e+02
7.959e+06,5.000e+00,1.998e-02,5.000e+00,1.998e-02,9.999e-02,3.997e-04,-2.167e-01,-2.500e+01,4.999e-01,3.996e-03,-5.837e-01,-1.250e+02,4.130e-03,-1.999e-01,4.130e-03,-1.999e-01,1.000e+00,0.000e+00,-3.167e+00,-2.500e+02
8.163e+06,5.000e+00,1.949e-02,5.000e+00,1.949e-02,9.999e-02,3.897e-04,-2.167e-01,-2.564e+01,4.999e-01,3.897e-03,-5.837e-01,-1.282e+02,3.926e-03,-1.949e-01,3.926e-03,-1.949e-01,1.000e+00,-4.164e-18,-3.167e+00,-2.565e+02
8.367e+06,5.000e+00,1.901e-02,5.000e+00,1.901e-02,9.999e-02,3.802e-04,-2.167e-01,-2.629e+01,4.999e-01,3.802e-03,-5.837e-01,-1.314e+02,3.737e-03,-1.901e-01,3.737e-03,-1.901e-01,1.000e+00,-3.470e-18,-3.167e+00,-2.629e+02
8.571e+06,5.000e+00,1.856e-02,5.000e+00,1.856e-02,9.999e-02,3.712e-04,-2.167e-01,-2.693e+01,4.999e-01,3.711e-03,-5.837e-01,-1.346e+02,3.561e-03,-1.856e-01,3.561e-03,-1.856e-01,1.000e+00,0.000e+00,-3.167e+00,-2.693e+02
8.776e+06,5.000e+00,1.813e-02,5.000e+00,1.813e-02,9.999e-02,3.625e-04,-2.167e-01,-2.757e+01,4.999e-01,3.625e-03,-5.836e-01,-1.378e+02,3.398e-03,-1.813e-01,3.398e-03,-1.813e-01,1.000e+00,-1.388e-18,-3.167e+00,-2.757e+02
8.980e+06,5.000e+00,1.772e-02,5.000e+00,1.772e-02,9.999e-02,3.543e-04,-2.167e-01,-2.821e+01,4.999e-01,3.543e-03,-5.836e-01,-1.410e+02,3.245e-03,-1.772e-01,3.245e-03,-1.772e-01,1.000e+00,-2.082e-18,-3.167e+00,-2.821e+02
9.184e+06,5.000e+00,1.732e-02,5.000e+00,1.732e-02,9.999e-02,3.464e-04,-2.167e-01,-2.885e+01,4.999e-01,3.464e-03,-5.836e-01,-1.442e+02,3.103e-03,-1.732e-01,3.103e-03,-1.732e-01,1.000e+00,-1.388e-18,-3.167e+00,-2.885e+02
9.388e+06,5.000e+00,1.695e-02,5.000e+00,1.695e-02,9.999e-02,3.389e-04,-2.167e-01,-2.949e+01,4.999e-01,3.389e-03,-5.836e-01,-1.474e+02,2.969e-03,-1.695e-01,2.969e-03,-1.695e-01,1.000e+00,0.000e+00,-3.167e+00,-2.949e+02
9.592e+06,5.000e+00,1.659e-02,5.000e+00,1.659e-02,9.999e-02,3.317e-04,-2.167e-01,-3.013e+01,4.999e-01,3.317e-03,-5.836e-01,-1.507e+02,2.844e-03,-1.659e-01,2.844e-03,-1.659e-01,1.000e+00,0.000e+00,-3.167e+00,-3.013e+02
9.796e+06,5.000e+00,1.624e-02,5.000e+00,1.624e-02,9.999e-02,3.248e-04,-2.167e-01,-3.077e+01,4.999e-01,3.248e-03,-5.836e-01,-1.539e+02,2.727e-03,-1.624e-01,2.727e-03,-1.624e-01,1.000e+00,-6.939e-19,-3.167e+00,-3.077e+02
1.000e+07,5.000e+00,1.591e-02,5.000e+00,1.591e-02,9.999e-02,3.182e-04,-2.167e-01,-3.141e+01,4.999e-01,3.182e-03,-5.836e-01,-1.571e+02,2.617e-03,-1.591e-01,2.617e-03,-1.591e-01,1.000e+00,-1.388e-18,-3.167e+00,-3.142e+02
