Freq,Re(Vin),Im(Vin),Re(Vout),Im(Vout),Re(Iin),Im(Iin),Re(Iout),Im(Iout),Re(Pin),Im(Pin),Re(Pout),Im(Pout),Re(Zin),Im(Zin),Re(Zout),Im(Zout),Re(Av),Im(Av),Re(Ai),Im(Ai)
Hz,V,V,V,V,A,A,A,A,W,W,W,W,Ohms,Ohms,Ohms,Ohms,,,,
1.000e+01,1.105e-06,1.571e-03,-5.000e+00,4.712e-03,2.211e-08,3.142e-05,2.211e-08,3.142e-05,-4.935e-08,6.945e-11,-2.586e-07,-1.571e-04,6.200e+01,-1.592e+05,6.200e+01,-1.592e+05,7.600e-01,3.183e+03,1.000e+00,1.053e-19
2.041e+05,4.250e-02,-3.051e-01,-4.873e+00,-9.152e-01,8.500e-04,-6.101e-03,8.500e-04,-6.101e-03,-1.825e-03,-5.186e-04,-9.725e-03,2.895e-02,6.200e+01,8.039e+02,6.200e+01,8.039e+02,7.600e-01,-1.608e+01,1.000e+00,-1.743e-17
4.082e+05,1.062e-02,-1.536e-01,-4.968e+00,-4.609e-01,2.125e-04,-3.073e-03,2.125e-04,-3.073e-03,-4.698e-04,-6.529e-05,-2.472e-03,1.517e-02,6.200e+01,1.620e+03,6.200e+01,1.620e+03,7.600e-01,-3.239e+01,1.000e+00,-0.000e+00
6.123e+05,4.722e-03,-1.026e-01,-4.986e+00,-3.077e-01,9.444e-05,-2.051e-03,9.444e-05,-2.051e-03,-2.099e-04,-1.937e-05,-1.102e-03,1.020e-02,6.200e+01,2.432e+03,6.200e+01,2.432e+03,7.600e-01,-4.865e+01,1.000e+00,-0.000e+00
8.163e+05,2.656e-03,-7.695e-02,-4.992e+00,-2.309e-01,5.312e-05,-1.539e-03,5.312e-05,-1.539e-03,-1.183e-04,-8.176e-06,-6.205e-04,7.671e-03,6.200e+01,3.245e+03,6.200e+01,3.245e+03,7.600e-01,-6.490e+01,1.000e+00,4.398e-18
1.020e+06,1.700e-03,-6.158e-02,-4.995e+00,-1.847e-01,3.400e-05,-1.232e-03,3.400e-05,-1.232e-03,-7.578e-05,-4.187e-06,-3.973e-04,6.145e-03,6.200e+01,4.057e+03,6.200e+01,4.057e+03,7.600e-01,-8.114e+01,1.000e+00,-0.000e+00
1.224e+06,1.181e-03,-5.132e-02,-4.996e+00,-1.540e-01,2.361e-05,-1.026e-03,2.361e-05,-1.026e-03,-5.265e-05,-2.423e-06,-2.760e-04,5.125e-03,6.200e+01,4.869e+03,6.200e+01,4.869e+03,7.600e-01,-9.738e+01,1.000e+00,-0.000e+00
1.429e+06,8.673e-04,-4.399e-02,-4.997e+00,-1.320e-01,1.735e-05,-8.798e-04,1.735e-05,-8.798e-04,-3.869e-05,-1.526e-06,-2.028e-04,4.395e-03,6.200e+01,5.681e+03,6.200e+01,5.681e+03,7.600e-01,-1.136e+02,1.000e+00,-0.000e+00
1.633e+06,6.640e-04,-3.849e-02,-4.998e+00,-1.155e-01,1.328e-05,-7.699e-04,1.328e-05,-7.699e-04,-2.963e-05,-1.022e-06,-1.553e-04,3.846e-03,6.200e+01,6.493e+03,6.200e+01,6.493e+03,7.600e-01,-1.299e+02,1.000e+00,-0.000e+00
1.837e+06,5.247e-04,-3.422e-02,-4.998e+00,-1.027e-01,1.049e-05,-6.844e-04,1.049e-05,-6.844e-04,-2.341e-05,-7.181e-07,-1.227e-04,3.420e-03,6.200e+01,7.304e+03,6.200e+01,7.304e+03,7.600e-01,-1.461e+02,1.000e+00,-0.000e+00
2.041e+06,4.250e-04,-3.080e-02,-4.999e+00,-9.239e-02,8.500e-06,-6.159e-04,8.500e-06,-6.159e-04,-1.897e-05,-5.235e-07,-9.940e-05,3.078e-03,6.200e+01,8.116e+03,6.200e+01,8.116e+03,7.600e-01,-1.623e+02,1.000e+00,-0.000e+00
2.245e+06,3.512e-04,-2.800e-02,-4.999e+00,-8.399e-02,7.025e-06,-5.600e-04,7.025e-06,-5.600e-04,-1.568e-05,-3.934e-07,-8.215e-05,2.799e-03,6.200e+01,8.928e+03,6.200e+01,8.928e+03,7.600e-01,-1.786e+02,1.000e+00,-0.000e+00
2.449e+06,2.951e-04,-2.567e-02,-4.999e+00,-7.700e-02,5.903e-06,-5.133e-04,5.903e-06,-5.133e-04,-1.317e-05,-3.030e-07,-6.903e-05,2.566e-03,6.200e+01,9.740e+03,6.200e+01,9.740e+03,7.600e-01,-1.948e+02,1.000e+00,-0.000e+00
2.653e+06,2.515e-04,-2.369e-02,-4.999e+00,-7.107e-02,5.029e-06,-4.738e-04,5.029e-06,-4.738e-04,-1.122e-05,-2.383e-07,-5.882e-05,2.368e-03,6.200e+01,1.055e+04,6.200e+01,1.055e+04,7.600e-01,-2.110e+02,1.000e+00,-0.000e+00
2.857e+06,2.168e-04,-2.200e-02,-4.999e+00,-6.600e-02,4.337e-06,-4.400e-04,4.337e-06,-4.400e-04,-9.678e-06,-1.908e-07,-5.072e-05,2.199e-03,6.200e+01,1.136e+04,6.200e+01,1.136e+04,7.600e-01,-2.273e+02,1.000e+00,-0.000e+00
3.061e+06,1.889e-04,-2.053e-02,-4.999e+00,-6.160e-02,3.778e-06,-4.107e-04,3.778e-06,-4.107e-04,-8.431e-06,-1.551e-07,-4.418e-05,2.053e-03,6.200e+01,1.217e+04,6.200e+01,1.217e+04,7.600e-01,-2.435e+02,1.000e+00,-1.031e-18
3.265e+06,1.660e-04,-1.925e-02,-5.000e+00,-5.775e-02,3.320e-06,-3.850e-04,3.320e-06,-3.850e-04,-7.410e-06,-1.278e-07,-3.883e-05,1.925e-03,6.200e+01,1.299e+04,6.200e+01,1.299e+04,7.600e-01,-2.597e+02,1.000e+00,-0.000e+00
3.469e+06,1.471e-04,-1.812e-02,-5.000e+00,-5.435e-02,2.941e-06,-3.623e-04,2.941e-06,-3.623e-04,-6.564e-06,-1.066e-07,-3.440e-05,1.811e-03,6.200e+01,1.380e+04,6.200e+01,1.380e+04,7.600e-01,-2.760e+02,1.000e+00,-0.000e+00
3.673e+06,1.312e-04,-1.711e-02,-5.000e+00,-5.133e-02,2.623e-06,-3.422e-04,2.623e-06,-3.422e-04,-5.855e-06,-8.978e-08,-3.068e-05,1.711e-03,6.200e+01,1.461e+04,6.200e+01,1.461e+04,7.600e-01,-2.922e+02,1.000e+00,-0.000e+00
3.878e+06,1.177e-04,-1.621e-02,-5.000e+00,-4.863e-02,2.355e-06,-3.242e-04,2.355e-06,-3.242e-04,-5.255e-06,-7.633e-08,-2.754e-05,1.621e-03,6.200e+01,1.542e+04,6.200e+01,1.542e+04,7.600e-01,-3.084e+02,1.000e+00,-0.000e+00
4.082e+06,1.062e-04,-1.540e-02,-5.000e+00,-4.620e-02,2.125e-06,-3.080e-04,2.125e-06,-3.080e-04,-4.743e-06,-6.545e-08,-2.485e-05,1.540e-03,6.200e+01,1.623e+04,6.200e+01,1.623e+04,7.600e-01,-3.247e+02,1.000e+00,-0.000e+00
4.286e+06,9.637e-05,-1.467e-02,-5.000e+00,-4.400e-02,1.927e-06,-2.933e-04,1.927e-06,-2.933e-04,-4.302e-06,-5.654e-08,-2.254e-05,1.466e-03,6.200e+01,1.705e+04,6.200e+01,1.705e+04,7.600e-01,-3.409e+02,1.000e+00,-0.000e+00
4.490e+06,8.781e-05,-1.400e-02,-5.000e+00,-4.200e-02,1.756e-06,-2.800e-04,1.756e-06,-2.800e-04,-3.920e-06,-4.917e-08,-2.054e-05,1.400e-03,6.200e+01,1.786e+04,6.200e+01,1.786e+04,7.600e-01,-3.571e+02,1.000e+00,-0.000e+00
4.694e+06,8.034e-05,-1.339e-02,-5.000e+00,-4.017e-02,1.607e-06,-2.678e-04,1.607e-06,-2.678e-04,-3.586e-06,-4.303e-08,-1.879e-05,1.339e-03,6.200e+01,1.867e+04,6.200e+01,1.867e+04,7.600e-01,-3.734e+02,1.000e+00,-0.000e+00
4.898e+06,7.378e-05,-1.283e-02,-5.000e+00,-3.850e-02,1.476e-06,-2.567e-04,1.476e-06,-2.567e-04,-3.294e-06,-3.788e-08,-1.726e-05,1.283e-03,6.200e+01,1.948e+04,6.200e+01,1.948e+04,7.600e-01,-3.896e+02,1.000e+00,-0.000e+00
5.102e+06,6.800e-05,-1.232e-02,-5.000e+00,-3.696e-02,1.360e-06,-2.464e-04,1.360e-06,-2.464e-04,-3.035e-06,-3.351e-08,-1.591e-05,1.232e-03,6.200e+01,2.029e+04,6.200e+01,2.029e+04,7.600e-01,-4.058e+02,1.000e+00,-0.000e+00
5.306e+06,6.287e-05,-1.185e-02,-5.000e+00,-3.554e-02,1.257e-06,-2.369e-04,1.257e-06,-2.369e-04,-2.806e-06,-2.979e-08,-1.471e-05,1.185e-03,6.200e+01,2.110e+04,6.200e+01,2.110e+04,7.600e-01,-4.221e+02,1.000e+00,-0.000e+00
5.510e+06,5.830e-05,-1.141e-02,-5.000e+00,-3.422e-02,1.166e-06,-2.281e-04,1.166e-06,-2.281e-04,-2.602e-06,-2.660e-08,-1.364e-05,1.141e-03,6.200e+01,2.192e+04,6.200e+01,2.192e+04,7.600e-01,-4.383e+02,1.000e+00,-0.000e+00
5.714e+06,5.421e-05,-1.100e-02,-5.000e+00,-3.300e-02,1.084e-06,-2.200e-04,1.084e-06,-2.200e-04,-2.420e-06,-2.385e-08,-1.268e-05,1.100e-03,6.200e+01,2.273e+04,6.200e+01,2.273e+04,7.600e-01,-4.545e+02,1.000e+00,-0.000e+00
5.918e+06,5.053e-05,-1.062e-02,-5.000e+00,-3.186e-02,1.011e-06,-2.124e-04,1.011e-06,-2.124e-04,-2.256e-06,-2.147e-08,-1.182e-05,1.062e-03,6.200e+01,2.354e+04,6.200e+01,2.354e+04,7.600e-01,-4.708e+02,1.000e+00,-0.000e+00
6.122e+06,4.722e-05,-1.027e-02,-5.000e+00,-3.080e-02,9.444e-07,-2.053e-04,9.444e-07,-2.053e-04,-2.108e-06,-1.939e-08,-1.105e-05,1.027e-03,6.200e+01,2.435e+04,6.200e+01,2.435e+04,7.600e-01,-4.870e+02,1.000e+00,-5.156e-19
6.327e+06,4.422e-05,-9.935e-03,-5.000e+00,-2.981e-02,8.845e-07,-1.987e-04,8.845e-07,-1.987e-04,-1.974e-06,-1.758e-08,-1.035e-05,9.935e-04,6.200e+01,2.516e+04,6.200e+01,2.516e+04,7.600e-01,-5.032e+02,1.000e+00,-5.328e-19
6.531e+06,4.150e-05,-9.625e-03,-5.000e+00,-2.887e-02,8.301e-07,-1.925e-04,8.301e-07,-1.925e-04,-1.853e-06,-1.598e-08,-9.709e-06,9.624e-04,6.200e+01,2.597e+04,6.200e+01,2.597e+04,7.600e-01,-5.195e+02,1.000e+00,5.500e-19
6.735e+06,3.903e-05,-9.333e-03,-5.000e+00,-2.800e-02,7.805e-07,-1.867e-04,7.805e-07,-1.867e-04,-1.742e-06,-1.457e-08,-9.129e-06,9.333e-04,6.200e+01,2.679e+04,6.200e+01,2.679e+04,7.600e-01,-5.357e+02,1.000e+00,-0.000e+00
6.939e+06,3.676e-05,-9.059e-03,-5.000e+00,-2.718e-02,7.353e-07,-1.812e-04,7.353e-07,-1.812e-04,-1.641e-06,-1.332e-08,-8.600e-06,9.058e-04,6.200e+01,2.760e+04,6.200e+01,2.760e+04,7.600e-01,-5.519e+02,1.000e+00,-0.000e+00
7.143e+06,3.469e-05,-8.800e-03,-5.000e+00,-2.640e-02,6.939e-07,-1.760e-04,6.939e-07,-1.760e-04,-1.549e-06,-1.221e-08,-8.116e-06,8.800e-04,6.200e+01,2.841e+04,6.200e+01,2.841e+04,7.600e-01,-5.682e+02,1.000e+00,-0.000e+00
7.347e+06,3.279e-05,-8.556e-03,-5.000e+00,-2.567e-02,6.559e-07,-1.711e-04,6.559e-07,-1.711e-04,-1.464e-06,-1.122e-08,-7.671e-06,8.555e-04,6.200e+01,2.922e+04,6.200e+01,2.922e+04,7.600e-01,-5.844e+02,1.000e+00,-0.000e+00
7.551e+06,3.104e-05,-8.324e-03,-5.000e+00,-2.497e-02,6.209e-07,-1.665e-04,6.209e-07,-1.665e-04,-1.386e-06,-1.034e-08,-7.262e-06,8.324e-04,6.200e+01,3.003e+04,6.200e+01,3.003e+04,7.600e-01,-6.006e+02,1.000e+00,-0.000e+00
7.755e+06,2.943e-05,-8.105e-03,-5.000e+00,-2.432e-02,5.886e-07,-1.621e-04,5.886e-07,-1.621e-04,-1.314e-06,-9.542e-09,-6.885e-06,8.105e-04,6.200e+01,3.084e+04,6.200e+01,3.084e+04,7.600e-01,-6.169e+02,1.000e+00,-0.000e+00
7.959e+06,2.794e-05,-7.897e-03,-5.000e+00,-2.369e-02,5.588e-07,-1.579e-04,5.588e-07,-1.579e-04,-1.247e-06,-8.827e-09,-6.536e-06,7.897e-04,6.200e+01,3.166e+04,6.200e+01,3.166e+04,7.600e-01,-6.331e+02,1.000e+00,-0.000e+00
8.163e+06,2.656e-05,-7.700e-03,-5.000e+00,-2.310e-02,5.312e-07,-1.540e-04,5.312e-07,-1.540e-04,-1.186e-06,-8.181e-09,-6.214e-06,7.700e-04,6.200e+01,3.247e+04,6.200e+01,3.247e+04,7.600e-01,-6.493e+02,1.000e+00,-0.000e+00
8.367e+06,2.528e-05,-7.512e-03,-5.000e+00,-2.254e-02,5.056e-07,-1.502e-04,5.056e-07,-1.502e-04,-1.129e-06,-7.597e-09,-5.914e-06,7.512e-04,6.200e+01,3.328e+04,6.200e+01,3.328e+04,7.600e-01,-6.656e+02,1.000e+00,-0.000e+00
8.571e+06,2.409e-05,-7.333e-03,-5.000e+00,-2.200e-02,4.819e-07,-1.467e-04,4.819e-07,-1.467e-04,-1.076e-06,-7.067e-09,-5.636e-06,7.333e-04,6.200e+01,3.409e+04,6.200e+01,3.409e+04,7.600e-01,-6.818e+02,1.000e+00,-0.000e+00
8.776e+06,2.299e-05,-7.163e-03,-5.000e+00,-2.149e-02,4.597e-07,-1.433e-04,4.597e-07,-1.433e-04,-1.026e-06,-6.585e-09,-5.377e-06,7.163e-04,6.200e+01,3.490e+04,6.200e+01,3.490e+04,7.600e-01,-6.980e+02,1.000e+00,-0.000e+00
8.980e+06,2.195e-05,-7.000e-03,-5.000e+00,-2.100e-02,4.390e-07,-1.400e-04,4.390e-07,-1.400e-04,-9.800e-07,-6.147e-09,-5.135e-06,7.000e-04,6.200e+01,3.571e+04,6.200e+01,3.571e+04,7.600e-01,-7.143e+02,1.000e+00,-3.781e-19
9.184e+06,2.099e-05,-6.844e-03,-5.000e+00,-2.053e-02,4.197e-07,-1.369e-04,4.197e-07,-1.369e-04,-9.369e-07,-5.746e-09,-4.909e-06,6.844e-04,6.200e+01,3.653e+04,6.200e+01,3.653e+04,7.600e-01,-7.305e+02,1.000e+00,-0.000e+00
9.388e+06,2.008e-05,-6.696e-03,-5.000e+00,-2.009e-02,4.017e-07,-1.339e-04,4.017e-07,-1.339e-04,-8.966e-07,-5.379e-09,-4.698e-06,6.695e-04,6.200e+01,3.734e+04,6.200e+01,3.734e+04,7.600e-01,-7.467e+02,1.000e+00,-0.000e+00
9.592e+06,1.924e-05,-6.553e-03,-5.000e+00,-1.966e-02,3.848e-07,-1.311e-04,3.848e-07,-1.311e-04,-8.589e-07,-5.043e-09,-4.501e-06,6.553e-04,6.200e+01,3.815e+04,6.200e+01,3.815e+04,7.600e-01,-7.630e+02,1.000e+00,-0.000e+00
9.796e+06,1.845e-05,-6.417e-03,-5.000e+00,-1.925e-02,3.689e-07,-1.283e-04,3.689e-07,-1.283e-04,-8.235e-07,-4.734e-09,-4.315e-06,6.417e-04,6.200e+01,3.896e+04,6.200e+01,3.896e+04,7.600e-01,-7.792e+02,1.000e+00,-0.000e+00
