Freq,Re(Vin),Im(Vin),Re(Vout),Im(Vout),Re(Av),Im(Av),Re(Iin),Im(Iin),Re(Iout),Im(Iout),Re(Ai),Im(Ai),Re(Zin),Im(Zin),Re(Zout),Im(Zout),Re(Pin),Im(Pin),Re(Pout),Im(Pout)
Hz,V,V,V,V,,,A,A,A,A,,,Ohms,Ohms,Ohms,Ohms,W,W,W,W
1.000e+01,2.500e+00,-4.581e-08,2.500e+00,-1.002e-04,1.000e+00,-4.004e-05,3.333e-02,-6.109e-10,3.333e-02,-1.334e-06,1.000e+00,-4.001e-05,7.500e+01,2.749e-06,7.500e+01,2.749e-06,8.333e-02,-3.054e-09,8.333e-02,-6.674e-06
2.041e+05,2.626e+00,1.124e-01,1.827e+00,-1.713e+00,6.663e-01,-6.809e-01,3.502e-02,1.499e-03,2.456e-02,-2.759e-02,6.663e-01,-8.165e-01,6.752e+01,-6.101e+00,6.752e+01,-6.101e+00,9.180e-02,7.874e-03,-2.425e-03,-9.248e-02
4.082e+05,3.643e+00,-3.514e-01,-1.410e+00,-1.863e+00,-3.346e-01,-5.438e-01,4.857e-02,-4.685e-03,-2.390e-02,-7.775e-02,-3.346e-01,-1.633e+00,2.699e+01,9.837e+00,2.699e+01,9.837e+00,1.753e-01,-3.413e-02,-1.112e-01,1.542e-01
6.123e+05,3.140e+00,-2.101e+00,-3.706e+00,8.068e+00,-2.003e+00,1.229e+00,4.187e-02,-2.801e-02,-1.525e-01,-4.645e-02,-2.003e+00,-2.450e+00,7.491e+00,5.520e+01,7.491e+00,5.520e+01,7.260e-02,-1.759e-01,9.398e-01,-1.058e+00
8.163e+05,1.904e+00,-2.363e+00,4.633e+00,2.064e+01,-4.338e+00,5.456e+00,2.538e-02,-3.150e-02,-2.130e-01,5.377e-02,-4.338e+00,-3.266e+00,2.543e+00,9.625e+01,2.543e+00,9.625e+01,-2.611e-02,-1.199e-01,-2.097e+00,-4.146e+00
1.020e+06,1.216e+00,-2.125e+00,1.861e+01,3.135e+01,-7.341e+00,1.296e+01,1.621e-02,-2.833e-02,-2.347e-01,1.418e-01,-7.341e+00,-4.083e+00,1.063e+00,1.330e+02,1.063e+00,1.330e+02,-4.050e-02,-6.889e-02,-8.813e+00,-4.718e+00
1.224e+06,8.396e-01,-1.861e+00,3.644e+01,4.110e+01,-1.101e+01,2.454e+01,1.119e-02,-2.482e-02,-2.448e-01,2.184e-01,-1.101e+01,-4.899e+00,5.164e-01,1.674e+02,5.164e-01,1.674e+02,-3.679e-02,-4.167e-02,-1.790e+01,-2.104e+00
1.429e+06,6.146e-01,-1.638e+00,5.780e+01,5.037e+01,-1.535e+01,4.104e+01,8.195e-03,-2.184e-02,-2.506e-01,2.884e-01,-1.535e+01,-5.715e+00,2.796e-01,2.007e+02,2.796e-01,2.007e+02,-3.075e-02,-2.685e-02,-2.902e+01,4.048e+00
1.633e+06,4.696e-01,-1.457e+00,8.261e+01,5.936e+01,-2.035e+01,6.326e+01,6.261e-03,-1.942e-02,-2.543e-01,3.544e-01,-2.035e+01,-6.532e+00,1.641e-01,2.332e+02,1.641e-01,2.332e+02,-2.536e-02,-1.824e-02,-4.205e+01,1.418e+01
1.837e+06,3.706e-01,-1.309e+00,1.108e+02,6.817e+01,-2.602e+01,9.203e+01,4.941e-03,-1.745e-02,-2.568e-01,4.179e-01,-2.602e+01,-7.348e+00,1.026e-01,2.653e+02,1.026e-01,2.653e+02,-2.101e-02,-1.293e-02,-5.694e+01,2.879e+01
2.041e+06,2.999e-01,-1.187e+00,1.424e+02,7.685e+01,-3.236e+01,1.282e+02,3.999e-03,-1.582e-02,-2.586e-01,4.795e-01,-3.236e+01,-8.165e+00,6.732e-02,2.970e+02,6.732e-02,2.970e+02,-1.758e-02,-9.492e-03,-7.367e+01,4.839e+01
2.245e+06,2.478e-01,-1.085e+00,1.773e+02,8.544e+01,-3.937e+01,1.725e+02,3.304e-03,-1.446e-02,-2.600e-01,5.398e-01,-3.937e+01,-8.981e+00,4.599e-02,3.286e+02,4.599e-02,3.286e+02,-1.487e-02,-7.167e-03,-9.221e+01,7.350e+01
2.449e+06,2.081e-01,-9.984e-01,2.156e+02,9.396e+01,-4.704e+01,2.258e+02,2.775e-03,-1.331e-02,-2.610e-01,5.991e-01,-4.704e+01,-9.798e+00,3.248e-02,3.599e+02,3.248e-02,3.599e+02,-1.271e-02,-5.541e-03,-1.126e+02,1.047e+02
2.653e+06,1.773e-01,-9.245e-01,2.573e+02,1.024e+02,-5.538e+01,2.889e+02,2.364e-03,-1.233e-02,-2.618e-01,6.577e-01,-5.538e+01,-1.061e+01,2.358e-02,3.912e+02,2.358e-02,3.912e+02,-1.098e-02,-4.371e-03,-1.347e+02,1.424e+02
2.857e+06,1.529e-01,-8.607e-01,3.023e+02,1.109e+02,-6.439e+01,3.627e+02,2.038e-03,-1.148e-02,-2.624e-01,7.156e-01,-6.439e+01,-1.143e+01,1.754e-02,4.224e+02,1.754e-02,4.224e+02,-9.565e-03,-3.508e-03,-1.587e+02,1.872e+02
3.061e+06,1.331e-01,-8.049e-01,3.506e+02,1.192e+02,-7.407e+01,4.479e+02,1.775e-03,-1.073e-02,-2.629e-01,7.732e-01,-7.407e+01,-1.225e+01,1.331e-02,4.535e+02,1.331e-02,4.535e+02,-8.402e-03,-2.858e-03,-1.844e+02,2.397e+02
3.265e+06,1.170e-01,-7.558e-01,4.023e+02,1.276e+02,-8.441e+01,5.453e+02,1.560e-03,-1.008e-02,-2.633e-01,8.303e-01,-8.441e+01,-1.306e+01,1.028e-02,4.845e+02,1.028e-02,4.845e+02,-7.434e-03,-2.358e-03,-2.119e+02,3.004e+02
3.469e+06,1.036e-01,-7.123e-01,4.573e+02,1.359e+02,-9.542e+01,6.559e+02,1.382e-03,-9.498e-03,-2.637e-01,8.871e-01,-9.542e+01,-1.388e+01,8.066e-03,5.155e+02,8.066e-03,5.155e+02,-6.622e-03,-1.969e-03,-2.412e+02,3.698e+02
3.673e+06,9.244e-02,-6.735e-01,5.157e+02,1.443e+02,-1.071e+02,7.804e+02,1.233e-03,-8.980e-03,-2.640e-01,9.436e-01,-1.071e+02,-1.470e+01,6.418e-03,5.465e+02,6.418e-03,5.465e+02,-5.934e-03,-1.660e-03,-2.723e+02,4.485e+02
3.878e+06,8.296e-02,-6.387e-01,5.774e+02,1.526e+02,-1.194e+02,9.196e+02,1.106e-03,-8.516e-03,-2.642e-01,1.000e+00,-1.194e+02,-1.551e+01,5.170e-03,5.774e+02,5.170e-03,5.774e+02,-5.347e-03,-1.413e-03,-3.051e+02,5.371e+02
4.082e+06,7.487e-02,-6.072e-01,6.424e+02,1.609e+02,-1.325e+02,1.074e+03,9.983e-04,-8.096e-03,-2.644e-01,1.056e+00,-1.325e+02,-1.633e+01,4.211e-03,6.083e+02,4.211e-03,6.083e+02,-4.842e-03,-1.212e-03,-3.398e+02,6.359e+02
4.286e+06,6.791e-02,-5.787e-01,7.108e+02,1.691e+02,-1.461e+02,1.245e+03,9.055e-04,-7.716e-03,-2.646e-01,1.112e+00,-1.461e+02,-1.715e+01,3.464e-03,6.392e+02,3.464e-03,6.392e+02,-4.404e-03,-1.048e-03,-3.762e+02,7.457e+02
4.490e+06,6.188e-02,-5.528e-01,7.825e+02,1.774e+02,-1.605e+02,1.434e+03,8.250e-04,-7.370e-03,-2.648e-01,1.168e+00,-1.605e+02,-1.796e+01,2.876e-03,6.700e+02,2.876e-03,6.700e+02,-4.023e-03,-9.121e-04,-4.144e+02,8.670e+02
4.694e+06,5.661e-02,-5.290e-01,8.576e+02,1.857e+02,-1.755e+02,1.640e+03,7.548e-04,-7.053e-03,-2.649e-01,1.224e+00,-1.755e+02,-1.878e+01,2.408e-03,7.009e+02,2.408e-03,7.009e+02,-3.689e-03,-7.986e-04,-4.544e+02,1.000e+03
4.898e+06,5.199e-02,-5.072e-01,9.360e+02,1.939e+02,-1.912e+02,1.865e+03,6.932e-04,-6.763e-03,-2.650e-01,1.279e+00,-1.912e+02,-1.960e+01,2.031e-03,7.317e+02,2.031e-03,7.317e+02,-3.394e-03,-7.032e-04,-4.962e+02,1.146e+03
5.102e+06,4.792e-02,-4.871e-01,1.018e+03,2.022e+02,-2.075e+02,2.110e+03,6.389e-04,-6.495e-03,-2.652e-01,1.335e+00,-2.075e+02,-2.041e+01,1.725e-03,7.625e+02,1.725e-03,7.625e+02,-3.133e-03,-6.224e-04,-5.397e+02,1.305e+03
5.306e+06,4.430e-02,-4.685e-01,1.103e+03,2.104e+02,-2.245e+02,2.375e+03,5.907e-04,-6.247e-03,-2.652e-01,1.390e+00,-2.245e+02,-2.123e+01,1.474e-03,7.933e+02,1.474e-03,7.933e+02,-2.901e-03,-5.535e-04,-5.850e+02,1.477e+03
5.510e+06,4.108e-02,-4.513e-01,1.191e+03,2.186e+02,-2.422e+02,2.661e+03,5.477e-04,-6.018e-03,-2.653e-01,1.446e+00,-2.422e+02,-2.205e+01,1.268e-03,8.240e+02,1.268e-03,8.240e+02,-2.694e-03,-4.944e-04,-6.321e+02,1.664e+03
5.714e+06,3.820e-02,-4.353e-01,1.283e+03,2.269e+02,-2.606e+02,2.970e+03,5.093e-04,-5.805e-03,-2.654e-01,1.501e+00,-2.606e+02,-2.286e+01,1.096e-03,8.548e+02,1.096e-03,8.548e+02,-2.508e-03,-4.434e-04,-6.810e+02,1.865e+03
5.918e+06,3.561e-02,-4.204e-01,1.378e+03,2.351e+02,-2.796e+02,3.301e+03,4.748e-04,-5.606e-03,-2.655e-01,1.556e+00,-2.796e+02,-2.368e+01,9.526e-04,8.856e+02,9.526e-04,8.856e+02,-2.340e-03,-3.992e-04,-7.317e+02,2.082e+03
6.122e+06,3.327e-02,-4.065e-01,1.476e+03,2.433e+02,-2.993e+02,3.656e+03,4.436e-04,-5.420e-03,-2.655e-01,1.611e+00,-2.993e+02,-2.449e+01,8.318e-04,9.163e+02,8.318e-04,9.163e+02,-2.189e-03,-3.607e-04,-7.841e+02,2.314e+03
6.327e+06,3.116e-02,-3.935e-01,1.578e+03,2.515e+02,-3.196e+02,4.036e+03,4.155e-04,-5.247e-03,-2.656e-01,1.666e+00,-3.196e+02,-2.531e+01,7.296e-04,9.471e+02,7.296e-04,9.471e+02,-2.052e-03,-3.270e-04,-8.383e+02,2.563e+03
6.531e+06,2.924e-02,-3.813e-01,1.683e+03,2.598e+02,-3.406e+02,4.441e+03,3.899e-04,-5.084e-03,-2.656e-01,1.721e+00,-3.406e+02,-2.613e+01,6.426e-04,9.778e+02,6.426e-04,9.778e+02,-1.927e-03,-2.973e-04,-8.943e+02,2.829e+03
6.735e+06,2.750e-02,-3.698e-01,1.792e+03,2.680e+02,-3.623e+02,4.872e+03,3.666e-04,-4.930e-03,-2.657e-01,1.777e+00,-3.623e+02,-2.694e+01,5.681e-04,1.009e+03,5.681e-04,1.009e+03,-1.813e-03,-2.712e-04,-9.521e+02,3.112e+03
6.939e+06,2.590e-02,-3.590e-01,1.903e+03,2.762e+02,-3.847e+02,5.331e+03,3.454e-04,-4.786e-03,-2.657e-01,1.832e+00,-3.847e+02,-2.776e+01,5.042e-04,1.039e+03,5.042e-04,1.039e+03,-1.709e-03,-2.480e-04,-1.012e+03,3.413e+03
7.143e+06,2.445e-02,-3.488e-01,2.019e+03,2.844e+02,-4.077e+02,5.817e+03,3.259e-04,-4.650e-03,-2.658e-01,1.887e+00,-4.077e+02,-2.858e+01,4.490e-04,1.070e+03,4.490e-04,1.070e+03,-1.614e-03,-2.273e-04,-1.073e+03,3.733e+03
7.347e+06,2.311e-02,-3.391e-01,2.137e+03,2.926e+02,-4.314e+02,6.331e+03,3.081e-04,-4.521e-03,-2.658e-01,1.941e+00,-4.314e+02,-2.939e+01,4.011e-04,1.101e+03,4.011e-04,1.101e+03,-1.526e-03,-2.089e-04,-1.136e+03,4.071e+03
7.551e+06,2.187e-02,-3.300e-01,2.259e+03,3.008e+02,-4.557e+02,6.875e+03,2.917e-04,-4.400e-03,-2.658e-01,1.996e+00,-4.557e+02,-3.021e+01,3.595e-04,1.131e+03,3.595e-04,1.131e+03,-1.446e-03,-1.925e-04,-1.201e+03,4.430e+03
7.755e+06,2.074e-02,-3.213e-01,2.384e+03,3.090e+02,-4.808e+02,7.450e+03,2.765e-04,-4.285e-03,-2.659e-01,2.051e+00,-4.808e+02,-3.103e+01,3.231e-04,1.162e+03,3.231e-04,1.162e+03,-1.371e-03,-1.777e-04,-1.268e+03,4.808e+03
