      Freq,    Re(Vin),    Im(Vin),   Re(Vout),   Im(Vout),     Re(Av),     Im(Av),    Re(Iin),    Im(Iin),   Re(Iout),   Im(Iout),     Re(Ai),     Im(Ai),    Re(Zin),    Im(Zin),   Re(Zout),   Im(Zout),    Re(Pin),    Im(Pin),   Re(Pout),   Im(Pout)
        Hz,          V,          V,          V,          V,          L,          L,          A,          A,          A,          A,          L,          L,       Ohms,       Ohms,       Ohms,       Ohms,          W,          W,          W,          W
 1.000e+01,  2.500e+00,  1.112e-05,  2.500e+00, -1.112e-05,  1.000e+00, -8.897e-06,  5.000e-02, -2.224e-07,  5.000e-02, -2.224e-07,  1.000e+00,  0.000e+00,  5.000e+01,  4.448e-04,  5.000e+01,  4.448e-04,  1.250e-01,  1.112e-06,  1.250e-01, -2.118e-22,
 2.041e+05,  2.520e+00,  2.251e-01,  2.480e+00, -2.251e-01,  9.681e-01, -1.758e-01,  4.959e-02, -4.502e-03,  4.959e-02, -4.502e-03,  1.000e+00,  0.000e+00,  5.000e+01,  9.079e+00,  5.000e+01,  9.079e+00,  1.240e-01,  2.251e-02,  1.240e-01,  0.000e+00,
 4.082e+05,  2.580e+00,  4.395e-01,  2.420e+00, -4.395e-01,  8.835e-01, -3.208e-01,  4.840e-02, -8.789e-03,  4.840e-02, -8.789e-03,  1.000e+00,  0.000e+00,  5.000e+01,  1.816e+01,  5.000e+01,  1.816e+01,  1.210e-01,  4.395e-02,  1.210e-01,  3.469e-18,
 6.123e+05,  2.673e+00,  6.339e-01,  2.327e+00, -6.339e-01,  7.712e-01, -4.201e-01,  4.655e-02, -1.268e-02,  4.655e-02, -1.268e-02,  1.000e+00,  0.000e+00,  5.000e+01,  2.724e+01,  5.000e+01,  2.724e+01,  1.164e-01,  6.339e-02,  1.164e-01,  6.939e-18,
 8.163e+05,  2.791e+00,  8.021e-01,  2.209e+00, -8.021e-01,  6.547e-01, -4.755e-01,  4.417e-02, -1.604e-02,  4.417e-02, -1.604e-02,  1.000e+00,  0.000e+00,  5.000e+01,  3.631e+01,  5.000e+01,  3.631e+01,  1.104e-01,  8.021e-02,  1.104e-01,  2.082e-17,
 1.020e+06,  2.927e+00,  9.409e-01,  2.073e+00, -9.409e-01,  5.482e-01, -4.977e-01,  4.146e-02, -1.882e-02,  4.146e-02, -1.882e-02,  1.000e+00,  0.000e+00,  5.000e+01,  4.539e+01,  5.000e+01,  4.539e+01,  1.036e-01,  9.409e-02,  1.036e-01,  0.000e+00,
 1.224e+06,  3.072e+00,  1.050e+00,  1.928e+00, -1.050e+00,  4.573e-01, -4.982e-01,  3.856e-02, -2.100e-02,  3.856e-02, -2.100e-02,  1.000e+00,  0.000e+00,  5.000e+01,  5.447e+01,  5.000e+01,  5.447e+01,  9.640e-02,  1.050e-01,  9.640e-02,  6.939e-18,
 1.429e+06,  3.219e+00,  1.132e+00,  1.781e+00, -1.132e+00,  3.823e-01, -4.860e-01,  3.562e-02, -2.263e-02,  3.562e-02, -2.263e-02,  1.000e+00,  0.000e+00,  5.000e+01,  6.355e+01,  5.000e+01,  6.355e+01,  8.904e-02,  1.132e-01,  8.904e-02,  0.000e+00,
 1.633e+06,  3.363e+00,  1.189e+00,  1.637e+00, -1.189e+00,  3.215e-01, -4.671e-01,  3.273e-02, -2.377e-02,  3.273e-02, -2.377e-02,  1.000e+00, -6.939e-17,  5.000e+01,  7.263e+01,  5.000e+01,  7.263e+01,  8.183e-02,  1.189e-01,  8.183e-02,  1.388e-17,
 1.837e+06,  3.501e+00,  1.225e+00,  1.499e+00, -1.225e+00,  2.724e-01, -4.452e-01,  2.998e-02, -2.450e-02,  2.998e-02, -2.450e-02,  1.000e+00,  0.000e+00,  5.000e+01,  8.171e+01,  5.000e+01,  8.171e+01,  7.496e-02,  1.225e-01,  7.496e-02,  6.939e-18,
 2.041e+06,  3.630e+00,  1.244e+00,  1.370e+00, -1.244e+00,  2.327e-01, -4.226e-01,  2.741e-02, -2.488e-02,  2.741e-02, -2.488e-02,  1.000e+00,  0.000e+00,  5.000e+01,  9.079e+01,  5.000e+01,  9.079e+01,  6.852e-02,  1.244e-01,  6.852e-02, -6.939e-18,
