Freq,Re(Vin),Im(Vin),Re(Vout),Im(Vout),Re(Av),Im(Av),Re(Iin),Im(Iin),Re(Iout),Im(Iout),Re(Ai),Im(Ai),Re(Zin),Im(Zin),Re(Zout),Im(Zout),Re(Pin),Im(Pin),Re(Pout),Im(Pout)
Hz,V,V,V,V,,,A,A,A,A,,,Ohms,Ohms,Ohms,Ohms,W,W,W,W
1.000e+01,2.500e+00,-1.272e-04,2.500e+00,-2.365e-04,1.000e+00,-4.373e-05,5.000e-02,2.543e-06,5.000e-02,-4.730e-06,1.000e+00,-1.455e-04,5.000e+01,-5.086e-03,5.000e+01,-5.086e-03,1.250e-01,-6.118e-14,1.250e-01,-2.365e-05
2.041e+05,1.504e+00,1.028e-01,-2.353e-01,-2.279e+00,-2.587e-01,-1.497e+00,6.991e-02,-2.056e-03,-4.707e-03,-4.558e-02,-4.811e-02,-6.533e-01,2.146e+01,2.102e+00,2.146e+01,2.102e+00,1.054e-01,4.094e-03,-1.028e-01,2.145e-02
4.082e+05,1.819e+00,-9.054e-01,-1.781e+00,1.339e+00,-1.078e+00,1.996e-01,6.362e-02,1.811e-02,-3.562e-02,2.679e-02,-4.071e-01,5.370e-01,2.271e+01,-2.069e+01,2.271e+01,-2.069e+01,1.321e-01,-2.465e-02,2.757e-02,-9.543e-02
6.123e+05,1.436e+00,-2.234e+00,3.234e-01,-1.540e-01,1.146e-01,7.107e-02,7.127e-02,4.468e-02,6.468e-03,-3.080e-03,4.571e-02,-7.186e-02,3.627e-01,-3.157e+01,3.627e-01,-3.157e+01,2.022e-01,-9.505e-02,1.618e-03,-1.992e-03
8.163e+05,5.510e-01,-1.565e+00,2.863e-02,-3.565e-02,2.599e-02,9.138e-03,8.898e-02,3.130e-02,5.725e-04,-7.129e-04,3.217e-03,-9.144e-03,4.699e-03,-1.759e+01,4.699e-03,-1.759e+01,9.802e-02,-1.220e-01,-9.026e-06,-4.082e-05
1.020e+06,3.126e-01,-1.210e+00,5.815e-03,-1.051e-02,9.303e-03,2.402e-03,9.375e-02,2.421e-02,1.163e-04,-2.102e-04,6.202e-04,-2.402e-03,3.077e-04,-1.291e+01,3.077e-04,-1.291e+01,5.860e-02,-1.059e-01,-1.533e-06,-2.444e-06
1.224e+06,2.049e-01,-9.913e-01,1.717e-03,-3.976e-03,4.190e-03,8.662e-04,9.590e-02,1.983e-02,3.435e-05,-7.952e-05,1.791e-04,-8.662e-04,3.912e-05,-1.034e+01,3.912e-05,-1.034e+01,3.931e-02,-9.101e-02,-2.572e-07,-2.732e-07
1.429e+06,1.458e-01,-8.412e-01,6.338e-04,-1.774e-03,2.174e-03,3.767e-04,9.708e-02,1.682e-02,1.268e-05,-3.547e-05,6.528e-05,-3.767e-04,7.308e-06,-8.665e+00,7.308e-06,-8.665e+00,2.830e-02,-7.921e-02,-5.489e-08,-4.496e-08
1.633e+06,1.094e-01,-7.314e-01,2.718e-04,-8.885e-04,1.243e-03,1.858e-04,9.781e-02,1.463e-02,5.436e-06,-1.777e-05,2.779e-05,-1.858e-04,1.765e-06,-7.477e+00,1.765e-06,-7.477e+00,2.140e-02,-6.994e-02,-1.431e-08,-9.660e-09
