Freq,Re(Av),Im(Av),Re(Ai),Im(Ai),Re(Pin),Im(Pin),Re(Pout),Im(Pout),Re(Zin),Im(Zin),Re(Zout),Im(Zout),Re(Vin),Im(Vin),Re(Vout),Im(Vout),Re(Iin),Im(Iin),Re(Iout),Im(Iout)
Hz,,,,,W,W,W,W,Ohms,Ohms,Ohms,Ohms,V,V,V,V,A,A,A,A
1.000e+01,1.000e+00,-5.026e-02,1.000e+00,-1.257e-03,1.248e-01,-6.118e-03,1.244e-01,-1.255e-02,5.000e+01,2.450e+00,5.000e+01,2.450e+00,2.498e+00,-6.122e-02,2.495e+00,-1.868e-01,4.997e-02,-1.224e-03,4.997e-02,-1.287e-03
6.721e+03,5.834e-01,5.112e+00,5.942e-01,1.278e-01,-3.970e-03,4.739e-03,-1.353e-02,-1.381e-02,1.402e+02,-4.074e+02,1.354e+02,-4.011e+02,2.352e-01,5.038e-01,-2.438e+00,1.496e+00,4.703e-03,1.008e-02,1.507e-03,6.588e-03
1.343e+04,-3.267e-01,6.005e+00,-3.013e-01,1.501e-01,-8.180e-04,-1.477e-03,-2.088e-03,2.706e-03,3.868e+02,7.414e+02,4.412e+02,7.767e+02,1.475e-01,-2.503e-01,1.455e+00,9.675e-01,2.950e-03,-5.006e-03,-1.373e-04,1.951e-03
2.014e+04,-9.604e-01,1.887e+00,-9.485e-01,4.718e-02,5.316e-03,-6.238e-02,-1.101e-01,-6.103e-02,5.407e+01,9.558e+01,5.544e+01,9.672e+01,1.303e+00,-1.197e+00,1.007e+00,3.608e+00,2.606e-02,-2.393e-02,-2.359e-02,2.393e-02
2.686e+04,-7.831e-01,-3.803e+00,-8.152e-01,-9.507e-02,-9.177e-03,1.494e-02,-4.997e-02,-2.500e-02,8.034e+01,-2.330e+02,7.422e+01,-2.246e+02,4.570e-01,8.171e-01,2.750e+00,-2.378e+00,9.140e-03,1.634e-02,-5.898e-03,-1.419e-02
3.357e+04,5.423e-02,-6.327e+00,-1.249e-02,-1.582e-01,2.651e-04,-2.006e-04,-2.513e-04,2.195e-04,1.788e+03,6.171e+02,1.986e+03,-1.739e+02,1.222e-01,-4.103e-02,-2.529e-01,-7.754e-01,2.444e-03,-8.205e-04,-1.603e-04,-3.764e-04
4.028e+04,8.457e-01,-3.596e+00,8.002e-01,-8.991e-02,-1.101e-02,-1.927e-02,-6.079e-02,2.571e-02,6.914e+01,2.053e+02,7.712e+01,2.161e+02,5.287e-01,-9.110e-01,-2.829e+00,-2.672e+00,1.057e-02,-1.822e-02,6.822e-03,-1.553e-02
4.699e+04,9.272e-01,2.111e+00,9.584e-01,5.277e-02,-1.227e-03,5.234e-02,-1.094e-01,3.814e-02,5.797e+01,-1.105e+02,5.427e+01,-1.071e+02,1.131e+00,1.157e+00,-1.395e+00,3.460e+00,2.261e-02,2.315e-02,2.045e-02,2.338e-02
5.370e+04,2.331e-01,6.072e+00,3.356e-01,1.518e-01,-2.300e-04,9.637e-04,-1.804e-03,-1.290e-03,6.460e+02,-8.816e+02,3.686e+02,-7.380e+02,1.379e-01,1.747e-01,-1.029e+00,8.782e-01,2.758e-03,3.494e-03,3.953e-04,1.591e-03
