Freq      ,Re(Vin)   ,Im(Vin)    ,|Vin|      ,/_Vin      ,Re(Vout)   ,Im(Vout)   ,|Vout|    ,/_Vout     ,Re(Iin)   ,Im(Iin)    ,|Iin|      ,/_Iin      ,Re(Iout)   ,Im(Iout)   ,Re(Iout)   ,Im(Iout)   ,|Iout|     ,/_Iout     ,Re(Pin)   ,Im(Pin)    ,|Pin|      ,/_Pin      ,Re(Zout)  ,Im(Zout)   ,Re(Zout)  ,Im(Zout)   ,Re(Pout)   ,Im(Pout)   ,Re(Pout)   ,Im(Pout)   ,|Pout|     ,/_Pout     ,Re(Zin)   ,Im(Zin)   ,Re(Zin)   ,Im(Zin)   ,Re(Av)     ,Im(Av)     ,|Av|      ,/_Av       ,Re(Ai)     ,Im(Ai)    ,|Ai|      ,/_Ai
Hz        ,mV        ,mV         ,dBmV       ,Rads       ,V          ,V          ,dBV       ,Rads       ,uA        ,uA         ,dBuA       ,Rads       ,A          ,A          ,mA         ,mA         ,dBmA       ,Rads       ,W         ,W          ,dBW        ,Rads       ,Ohms      ,Ohms       ,mOhms     ,mOhms      ,W          ,W          ,mW         ,mW         ,dBmW       ,Rads       ,Ohms      ,Ohms      ,kOhms     ,kOhms     ,           ,           ,dB        ,Rads       ,           ,          ,dB        ,Rads
1.000e+01 ,3.753e-03 ,-5.032e-06 ,-4.851e+01 ,-1.341e-03 ,-2.114e+08 ,-2.445e+05 ,1.665e+02 ,-3.140e+00 ,7.506e-08 ,-1.006e-10 ,-1.425e+02 ,-1.341e-03 ,2.530e+06  ,8.357e+03  ,2.530e+03  ,8.357e+00  ,6.806e+01  ,3.303e-03  ,2.817e-01 ,-7.554e-04 ,-1.100e+01 ,-2.682e-03 ,8.356e+01 ,-1.794e-01 ,8.356e-02 ,-1.794e-04 ,-5.350e+14 ,-2.385e+12 ,-5.350e+11 ,-2.385e+09 ,2.346e+02  ,-3.137e+00 ,1.661e+01 ,8.932e-02 ,1.661e+04 ,8.932e+01 ,-5.633e+07 ,-1.407e+05 ,1.550e+02 ,-3.139e+00 ,3.371e+07  ,1.565e+05 ,1.506e+02 ,4.644e-03
4.642e+01 ,3.753e-03 ,-2.335e-05 ,-4.851e+01 ,-6.223e-03 ,-7.693e+06 ,7.645e+04  ,1.377e+02 ,3.132e+00  ,7.505e-08 ,-4.671e-10 ,-1.425e+02 ,-6.223e-03 ,9.208e+04  ,2.199e+00  ,9.208e+01  ,2.199e-03  ,3.928e+01  ,2.388e-05  ,2.817e-01 ,-3.506e-03 ,-1.101e+01 ,-1.245e-02 ,8.354e+01 ,-8.323e-01 ,8.354e-02 ,-8.323e-04 ,-7.083e+11 ,7.023e+09  ,-7.083e+08 ,7.023e+06  ,1.770e+02  ,3.132e+00  ,1.662e+01 ,4.146e-01 ,1.662e+04 ,4.146e+02 ,-2.050e+06 ,7.616e+03  ,1.262e+02 ,3.138e+00  ,1.227e+06  ,7.664e+03 ,1.218e+02 ,6.247e-03
2.154e+02 ,3.748e-03 ,-1.082e-04 ,-4.852e+01 ,-2.886e-02 ,-3.567e+05 ,1.652e+04  ,1.111e+02 ,3.095e+00  ,7.497e-08 ,-2.164e-09 ,-1.425e+02 ,-2.886e-02 ,4.283e+03  ,-7.081e-01 ,4.283e+00  ,-7.081e-04 ,1.264e+01  ,-1.653e-04 ,2.808e-01 ,-1.622e-02 ,-1.102e+01 ,-5.772e-02 ,8.328e+01 ,-3.844e+00 ,8.328e-02 ,-3.844e-03 ,-1.528e+09 ,7.103e+07  ,-1.528e+06 ,7.103e+04  ,1.237e+02  ,3.095e+00  ,1.664e+01 ,1.924e+00 ,1.664e+04 ,1.924e+03 ,-9.521e+04 ,1.660e+03  ,9.958e+01 ,3.124e+00  ,5.709e+04  ,1.639e+03 ,9.513e+01 ,2.870e-02
1.000e+03 ,3.656e-03 ,-4.837e-04 ,-4.866e+01 ,-1.315e-01 ,-1.635e+04 ,3.493e+03  ,8.446e+01 ,2.931e+00  ,7.312e-08 ,-9.674e-09 ,-1.426e+02 ,-1.315e-01 ,2.095e+02  ,-1.445e+00 ,2.095e-01  ,-1.445e-03 ,-1.358e+01 ,-6.898e-03 ,2.626e-01 ,-7.073e-02 ,-1.131e+01 ,-2.631e-01 ,7.816e+01 ,-1.613e+01 ,7.816e-02 ,-1.613e-02 ,-3.420e+06 ,7.553e+05  ,-3.420e+03 ,7.553e+02  ,7.089e+01  ,2.924e+00  ,1.721e+01 ,8.892e+00 ,1.721e+04 ,8.892e+03 ,-4.520e+03 ,3.574e+02  ,7.313e+01 ,3.063e+00  ,2.818e+03  ,3.531e+02 ,6.907e+01 ,1.246e-01
4.642e+03 ,2.588e-03 ,-1.250e-03 ,-5.083e+01 ,-4.499e-01 ,-7.075e+02 ,5.849e+02  ,5.926e+01 ,2.451e+00  ,5.176e-08 ,-2.500e-08 ,-1.448e+02 ,-4.499e-01 ,1.741e+01  ,-3.523e+00 ,1.741e-02  ,-3.523e-03 ,-3.501e+01 ,-1.996e-01 ,1.027e-01 ,-1.294e-01 ,-1.564e+01 ,-8.998e-01 ,4.556e+01 ,-2.437e+01 ,4.556e-02 ,-2.437e-02 ,-1.026e+04 ,1.268e+04  ,-1.026e+01 ,1.268e+01  ,2.425e+01  ,2.251e+00  ,2.833e+01 ,3.783e+01 ,2.833e+04 ,3.783e+04 ,-3.102e+02 ,7.622e+01  ,5.009e+01 ,2.901e+00  ,2.995e+02  ,7.654e+01 ,4.980e+01 ,2.503e-01
2.154e+04 ,1.374e-03 ,-5.498e-04 ,-5.659e+01 ,-3.805e-01 ,-1.507e+02 ,8.066e+01  ,4.465e+01 ,2.650e+00  ,2.749e-08 ,-1.100e-08 ,-1.506e+02 ,-3.805e-01 ,5.220e+00  ,-1.493e+00 ,5.220e-03  ,-1.493e-03 ,-4.530e+01 ,-2.787e-01 ,3.173e-02 ,-3.022e-02 ,-2.717e+01 ,-7.611e-01 ,3.077e+01 ,-6.649e+00 ,3.077e-02 ,-6.649e-03 ,-6.660e+02 ,6.461e+02  ,-6.660e-01 ,6.461e-01  ,-6.499e-01 ,2.371e+00  ,1.068e+02 ,6.273e+01 ,1.068e+05 ,6.273e+04 ,-1.147e+02 ,1.279e+01  ,4.125e+01 ,3.031e+00  ,1.825e+02  ,1.865e+01 ,4.527e+01 ,1.019e-01
1.000e+05 ,1.253e-03 ,-1.245e-04 ,-5.800e+01 ,-9.897e-02 ,-1.330e+02 ,-4.664e+00 ,4.248e+01 ,-3.107e+00 ,2.507e-08 ,-2.489e-09 ,-1.520e+02 ,-9.897e-02 ,4.431e+00  ,-8.404e-02 ,4.431e-03  ,-8.404e-05 ,-4.707e+01 ,-1.897e-02 ,3.111e-02 ,-6.240e-03 ,-2.997e+01 ,-1.979e-01 ,2.998e+01 ,1.621e+00  ,2.998e-02 ,1.621e-03  ,-5.895e+02 ,-9.491e+00 ,-5.895e-01 ,-9.491e-03 ,-4.589e+00 ,-3.125e+00 ,1.475e+02 ,1.961e+01 ,1.475e+05 ,1.961e+04 ,-1.047e+02 ,-1.411e+01 ,4.047e+01 ,-3.008e+00 ,1.754e+02  ,1.406e+01 ,4.491e+01 ,8.001e-02
4.642e+05 ,1.248e-03 ,-2.688e-05 ,-5.808e+01 ,-2.154e-02 ,-1.052e+02 ,-9.926e+01 ,4.320e+01 ,-2.385e+00 ,2.495e-08 ,-5.376e-10 ,-1.521e+02 ,-2.154e-02 ,3.491e+00  ,1.164e+00  ,3.491e-03  ,1.164e-03  ,-4.868e+01 ,3.217e-01  ,3.111e-02 ,-1.341e-03 ,-3.013e+01 ,-4.308e-02 ,3.564e+01 ,1.655e+01  ,3.564e-02 ,1.655e-02  ,-2.517e+02 ,-4.689e+02 ,-2.517e-01 ,-4.689e-01 ,-5.478e+00 ,-2.063e+00 ,1.503e+02 ,4.316e+00 ,1.503e+05 ,4.316e+03 ,-8.256e+01 ,-8.134e+01 ,4.128e+01 ,-2.364e+00 ,1.389e+02  ,4.963e+01 ,4.337e+01 ,3.433e-01
2.154e+06 ,1.247e-03 ,-5.827e-06 ,-5.808e+01 ,-4.672e-03 ,4.776e+02  ,-4.774e+02 ,5.659e+01 ,-7.852e-01 ,2.494e-08 ,-1.165e-10 ,-1.521e+02 ,-4.672e-03 ,-1.598e+01 ,5.737e+00  ,-1.598e-02 ,5.737e-03  ,-3.540e+01 ,2.797e+00  ,3.111e-02 ,-2.907e-04 ,-3.014e+01 ,-9.344e-03 ,3.597e+01 ,-1.696e+01 ,3.597e-02 ,-1.696e-02 ,-4.895e+03 ,1.037e+04  ,-4.895e+00 ,1.037e+01  ,2.119e+01  ,2.012e+00  ,1.504e+02 ,9.365e-01 ,1.504e+05 ,9.365e+02 ,3.847e+02  ,-3.810e+02 ,5.467e+01 ,-7.805e-01 ,-6.418e+02 ,2.270e+02 ,5.666e+01 ,2.802e+00
